h3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
882a1000b5fffff,-0.8451146,1.0098025,-0.8002644,0.30643743,-1.1283588,1.0853137,0.75017464,0.41917858,0.019115213,-0.8098815,1.2881489,-0.33629784,1.2864426,-0.5490603,0.8775595,-1.6422594,0.89249736,-0.045988496,-0.5100674,-1.3497221,0.60759383,-1.1412293,-1.1833085,0.8623587,-1.3072981,-0.23214635,-0.081928425,0.28421518,-1.752603,-1.2856997,-0.14851937,-0.7158486,-0.69319564,-0.19297321,1.4979051,0.992511,0.57643867,-1.2564969,-0.7846784,0.36792347,0.7950604,1.7745557,-0.64326,1.3150728,-1.8166997,-0.84890544,-0.9845033,2.0161867,-0.57191104,-1.5428358,1.26788,-0.057257243,-0.34766415,0.30677482,-0.017332736,1.3602867,0.4809902,0.06810061,1.2960681,-0.81462777,0.94571996,0.32403222,0.5831529,0.55405897
882a1000b7fffff,-0.38889945,0.87984174,-0.91482985,0.57446,-0.17068313,-0.23842916,-0.28129703,-0.17762974,1.0681585,0.4193014,0.65523654,-1.0130357,1.1459,-0.9256906,0.38392156,-0.40468845,1.4254835,1.2383715,0.22679065,-0.6114537,-0.017642338,-0.85547507,-1.1648952,0.78009295,-1.4114217,-1.1841666,-0.15075278,0.051603373,-0.49699777,-0.9982245,0.045239523,-1.4278122,-1.1943702,1.072965,0.6621125,0.57032937,0.67942756,0.054779503,0.30716214,-0.14169498,1.3982613,0.7822023,-0.4186204,1.49368,-0.83961517,-0.93924886,-1.190537,1.9776738,-0.44548255,-1.6970248,0.07316073,-0.8153752,-0.3430639,-0.30472144,0.60494304,1.6310365,0.51868784,-0.1176438,0.17917557,-0.4394006,0.7716544,0.59136474,0.18627204,-0.7997062
882a100101fffff,-0.69315517,0.65633523,0.69716287,1.5101467,-0.09960409,1.0370222,-0.5311372,-0.9343218,-0.9745071,-0.7182343,1.5636555,0.7719568,0.631049,-1.3498366,-0.52019393,-0.6047162,-0.13586414,-0.2358129,-0.80931056,-0.9469128,0.44872534,-0.91498065,-0.6854077,-0.91066974,0.28752863,-0.5745589,-1.5037334,-0.80609,-1.4320272,-0.41884828,1.774038,0.35971868,-0.7548775,-0.09930043,-0.040050924,1.0461293,-1.2154377,0.7275145,-0.98766994,-0.5646402,-0.54503065,1.1901983,1.5987864,1.4495518,-0.46265346,0.74340045,-0.19886367,0.87814873,-0.8163319,-0.1305489,1.0651629,1.4044882,1.2668408,0.9403844,-0.51505905,-0.06662994,-0.19255836,-0.38541695,0.03777989,-1.9167957,1.4210529,-0.41350427,-0.20720127,1.6152704
882a100103fffff,-0.20218799,1.8472764,0.15742488,1.5262743,0.48919734,0.8106723,-0.87490827,-1.0847381,-0.878596,-0.2029993,0.7340289,0.65714985,-0.015485212,-1.5559791,0.19315529,0.14050367,0.767183,0.09280218,-1.408153,-1.235738,0.03255986,-1.1586764,-0.29848942,-0.07161941,0.018037869,-0.6374198,-1.8130845,-0.45036206,-1.3672715,-0.30926853,1.6510087,-0.8582673,-0.81363183,0.36889902,-0.64010316,1.2745563,-0.29193938,1.3968191,-1.1681303,-0.49097937,0.27646554,0.75052834,1.3972945,0.5927388,0.39343628,0.083309144,-0.18704066,0.7833149,-0.55008346,-0.9066272,0.57129997,0.94890726,1.1071565,0.010585192,-0.15712836,0.93065405,0.016843373,-1.2551904,0.077098705,-1.4095236,1.7550465,0.063579105,-0.5019839,0.70923764
882a100105fffff,0.29203194,1.0483245,0.35601267,0.8046574,0.26152828,0.91962796,0.16684432,-0.676163,-0.6793164,0.2778335,0.37569785,0.36697298,1.1628195,-0.6995281,0.7280236,0.13993892,0.2674423,-0.9192522,-1.5597316,-1.3814037,1.0859419,-1.792211,0.37097466,-0.062243443,0.16000906,0.62380034,-1.1187062,-0.7182903,-1.3835571,-0.18446313,0.25310358,0.3464365,-0.36188275,-1.3759891,-0.19021198,1.2552757,0.13192084,-0.4263209,-1.336337,-0.6083442,-0.41360432,0.7132817,0.7942501,0.009490981,-0.13980138,0.18525377,-0.11041946,0.28060597,0.7314372,-0.46724388,1.9703287,1.3012267,0.8213122,-0.5092544,-1.4133694,0.27448618,-0.8683226,-1.3333311,0.5577606,-0.2745308,0.5627371,-0.2126134,0.5563785,0.83956176
882a100107fffff,0.015544644,0.95284414,0.3715305,0.7407377,-0.0046552224,1.4699272,0.3306892,-0.7753313,-1.1513355,0.23826933,0.5763479,0.2952785,1.1107543,-0.6457447,0.77101105,-0.48497954,-0.18153922,-1.1241349,-1.541647,-1.4201938,0.89548856,-1.8319174,0.025730303,-0.1735419,0.29465815,0.5646576,-1.1788175,-0.7806425,-1.4915991,0.2317227,0.8902443,0.3629651,-0.42715466,-1.2293292,-0.08146461,1.050778,-0.31450647,-0.36606357,-1.5104854,-0.5326068,-0.75537086,0.923649,1.274324,0.048474014,-0.28618163,0.45604667,-0.19792764,0.117442966,0.84015876,-0.3991531,2.4199698,1.3379432,1.0633049,-0.2575106,-1.1616046,-0.002770443,-0.8145909,-0.92984,0.5092369,-0.79386026,0.5227047,-0.17831126,0.6270858,1.4673423
882a100109fffff,-0.93006665,0.41173896,0.4981823,1.1173313,-0.8163556,1.2152039,0.070931025,-0.69271106,-0.33973855,-0.87723875,1.4874576,0.39749956,0.10244432,-0.8656711,-0.69242835,-1.236323,-0.6080999,-0.096708134,-0.39175066,-0.857988,-0.20244607,-0.22806098,-1.3343107,-0.8519613,0.21798775,-0.5130496,-0.5210438,-0.732398,-1.5462433,-0.023816837,1.851108,0.06808046,-0.16577604,1.0146309,0.34872898,0.44566917,-1.5293812,0.3467649,-0.94931084,-0.28273618,-0.6695958,1.4358453,1.365393,1.7417009,-0.7999423,0.8058981,-0.20118444,0.7651435,-1.2384677,-0.2520624,0.68456894,0.4469641,1.1231636,1.0266062,-0.10915835,-0.507422,0.6005937,0.39791465,0.13054876,-2.1565874,1.2155176,-0.113407195,0.012519078,1.7813224
882a10010bfffff,-0.56273377,0.74713886,0.22816567,0.6567376,-0.6059168,1.2158818,0.055952564,-0.78699785,-0.3659302,-0.3697987,0.7694867,0.22437412,-0.015422975,-0.3660055,-0.20860277,-1.0457982,-0.7095984,-0.2990385,-0.7143806,-0.94483495,-0.6508014,-0.186407,-1.3756083,-0.4753318,0.26472908,-0.22665109,-0.36499268,-0.6883177,-1.3352027,0.7180973,1.848303,-0.23269325,0.09425615,1.558332,-0.023683421,0.008405659,-1.2896044,0.4420218,-1.1175705,-0.27317268,-0.7211438,1.12618,1.6047317,1.008376,-0.40071133,0.64891255,0.01318445,-0.06967894,-0.7383411,-0.20123139,1.0857815,0.12047455,1.015057,0.5544484,0.033904567,-0.7152879,0.55806285,0.28553647,0.11665679,-1.9423103,0.9652611,0.1211742,0.061041445,1.6621286
882a10010dfffff,-0.48497036,0.39866203,1.0665283,1.5035143,0.6025023,1.0378873,-0.5778006,-0.9411353,-1.9041275,-1.0018451,1.26703,1.7311025,-0.255951,-0.8937974,-0.7948219,0.060830276,-0.67656285,-0.76665455,-0.91296643,-0.5910739,0.4286884,-0.39780372,0.053660985,-1.1694976,1.0443983,-0.08548978,-1.4259117,-0.7403325,-1.3069855,-0.06567468,1.5099784,1.5109102,-0.10516565,-0.9363415,-0.54249424,0.86417323,-1.4904768,1.0654205,-1.0704087,-0.51418537,-1.142603,0.6405137,1.6267297,0.2938126,0.3081965,0.8494733,0.029249819,-0.017444897,-0.069471866,0.78691196,1.0253552,1.925337,1.5617771,1.0930007,-0.9996985,-0.5200439,-0.8610657,-0.7482259,-0.33520487,-1.5382278,1.3173271,-1.0126253,-0.5625377,1.7339815
882a100111fffff,0.09699724,1.7822587,-0.55870306,0.5498999,0.11496743,0.83329374,-0.65350515,0.18171737,-1.0099559,-0.29643604,0.46082252,1.3438752,1.0139552,-0.96528447,0.67202604,-0.024251541,1.3806785,-0.047367614,-1.5790017,-1.6364241,0.47808537,-1.2945052,-0.14715497,0.72491175,-0.90278053,-0.27096838,-1.1134045,0.28022137,-1.2982339,-1.3372868,-0.19797029,-0.7232327,-1.0233752,-0.23095995,-0.04467327,1.0705988,0.93472034,0.20722294,-0.78651124,0.060880356,0.91352654,0.9074492,0.38059148,0.1509619,-0.37788197,-0.8552788,-0.23205106,1.0564497,-0.5752709,-0.9843265,0.7515493,1.0943887,-0.23261043,0.3229721,-0.28177255,1.4988838,0.034598056,-1.1251148,0.8338583,-0.053409148,1.4609461,-0.39549658,-0.25932428,-0.28489527
