BoroCT2020,0,1,2,3,4,5,6,7,8,9,10
1000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1000201,0.0,0.0723098898450601,0.2709220329962746,0.23344788978481126,0.0,0.0,0.22950221916515207,0.19381796820870195,0.0,0.0,0.0
1000202,0.0025567842054736514,0.0,0.8303283307420708,0.008687463568788054,0.01073811655617437,0.0,0.029932853437975086,0.11334915027060108,0.004407301218916971,0.0,0.0
1000500,0.0,0.0,0.0,0.0,0.0,0.0,0.08317480011758101,0.916825199882419,0.0,0.0,0.0
1000600,0.0,0.04445342418021176,0.08498183299930752,0.7169742791641517,0.006860846101465812,0.0011332109872608763,0.00033487402527739073,0.1423267196561553,0.002934812886169635,0.0,0.0
1000700,0.0,0.0,0.11081912710832899,0.2012339419231438,0.6413848721961398,0.0,0.04424013215093027,0.0023219266214571377,0.0,0.0,0.0
1000800,0.0,0.026103254130615167,0.008470327701598527,0.7118409864188348,0.12559751485893178,0.06275250705575146,0.018424550109482057,0.0457830736422432,0.001027786082543099,0.0,0.0
1000900,0.0,0.0,0.0023243684249021654,0.06985589476650042,0.9023312483057558,0.0,0.0,0.02059110796432829,0.0009270876921555019,0.003970292846357786,0.0
1001001,0.0,0.0,0.9692531260135338,0.0,0.0,0.0,0.030746873986466274,0.0,0.0,0.0,0.0
1001002,0.0,0.024834405421429437,0.9397930625593686,0.0,0.0,0.0,0.0,0.03537253201920196,0.0,0.0,0.0
1001200,0.0015219121766408942,0.0040178481463319605,0.6703189759987103,0.12104512752994283,0.01683801648451302,0.0,0.014056170944534383,0.1303777029160257,0.00031823708410863387,0.0415060087191923,0.0
1001300,0.0,0.0,0.08191439884245084,0.12668203417939872,0.7690441564903463,0.0,0.00025353345110312926,0.010326091133245867,0.0,0.011779785903455157,0.0
1001401,0.0,0.0,0.9803733661294266,0.0,0.008319701569749153,0.0,0.0,0.007998484422964896,0.0033084478778593984,0.0,0.0
1001402,0.0,0.05896089320237184,0.13499889712083663,0.6807693555293172,0.07430194236483242,0.0,0.0,0.05096891178264198,0.0,0.0,0.0
1001501,0.0017496584223712977,0.006223959281768972,0.30386253992581597,0.24364425314178204,0.31570746462104315,0.0,0.0,0.12522297819647762,0.0,0.0035891464107409505,0.0
