BoroCT2020,1,2,3,4,5,6,7,8,9,10,11
1000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1000201,0.0,0.36585365853658536,0.024390243902439025,0.2682926829268293,0.0,0.0,0.024390243902439025,0.1951219512195122,0.024390243902439025,0.07317073170731707,0.024390243902439025
1000202,0.037037037037037035,0.0,0.2037037037037037,0.18518518518518517,0.05555555555555555,0.0,0.037037037037037035,0.3148148148148148,0.16666666666666666,0.0,0.0
1000500,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
1000600,0.0,0.1518987341772152,0.05063291139240506,0.5949367088607594,0.0379746835443038,0.006329113924050633,0.012658227848101266,0.10759493670886076,0.0189873417721519,0.012658227848101266,0.006329113924050633
1000700,0.0,0.0,0.11764705882352941,0.25,0.5441176470588235,0.0,0.029411764705882353,0.04411764705882353,0.014705882352941176,0.0,0.0
1000800,0.0,0.05220883534136546,0.01606425702811245,0.6144578313253012,0.13654618473895583,0.004016064257028112,0.012048192771084338,0.05622489959839357,0.040160642570281124,0.04819277108433735,0.020080321285140562
1000900,0.0,0.0,0.010526315789473684,0.3368421052631579,0.4631578947368421,0.0,0.010526315789473684,0.08421052631578947,0.05263157894736842,0.010526315789473684,0.031578947368421054
1001001,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
1001002,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
1001200,0.029411764705882353,0.029411764705882353,0.29411764705882354,0.08823529411764706,0.058823529411764705,0.0,0.14705882352941177,0.17647058823529413,0.058823529411764705,0.08823529411764706,0.029411764705882353
1001300,0.0,0.0,0.09411764705882353,0.27058823529411763,0.4117647058823529,0.0,0.011764705882352941,0.09411764705882353,0.058823529411764705,0.03529411764705882,0.023529411764705882
1001401,0.0,0.0,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.45454545454545453,0.0,0.0
