GEOID,pop
17161022800,13227.667358398438
17161022900,3316.976318359375
17161023000,6502.714820861816
17161023100,5157.087493896484
17019010901,9629.577308662236
17019010902,7041.700935950503
17019005602,6235.500152587891
17019010702,8872.508554778993
17019005601,9442.968170166016
17019010701,4351.600067138672
17019005902,14545.04931640625
17019011001,4573.611572265625
17199021001,2422.4421615600586
17199020802,6016.621792688966
17199021002,1918.827312707901
17199020801,4361.765493094921
17091011700,3200.2701416015625
17119401722,5195.360412597656
17119403531,11980.44035577774
17119401701,4465.878841280937
17111871113,5247.036541342735
17199021003,1731.9736862182617
17091011800,4331.568176269531
17119400951,6067.735443115234
17119400952,6790.764778137207
17119401500,2816.33349609375
17119401905,6834.527960285544
17119402804,3634.6593576669693
17119402805,7595.055754184723
17119403403,4699.622211456299
17119401101,4310.946182250977
17119401102,5528.558349609375
17119403404,5354.6480712890625
17189950200,5177.613083310425
17189950400,5992.462765224278
17189950300,4617.048297479749
17189950100,4666.229141015559
17161024000,6087.1772339344025
17161024400,2221.04452586174
17119403401,4551.7200927734375
17111870105,5519.899096101522
17111871501,8946.922617286444
17111871115,1119.7719421386716
17111870404,10366.688236832619
17111871112,6400.443561553955
17111870104,7682.783066943288
17111870403,8039.137656211853
17111871502,9728.897341012955
17111870106,6296.096583366394
17111871111,9655.781590461731
17111871313,3270.5634140968323
17111870907,6575.380431175232
17111870814,5495.09451174736
17111870501,7270.672360479832
17111870906,8028.672951459885
17111870103,4305.214948832989
17111871312,11246.531784057617
17111870502,7783.443984985352
17089853402,12072.749755859375
17111871114,9963.232147216797
17111870813,5396.744172334671
17111871110,9716.270013809204
17089853100,1604.3134765625
17089853200,16771.753173828125
17193958400,4666.447503531352
17193958300,3473.652597412467
17193958200,3600.3456007711357
17089854505,11280.260329008102
17089854509,11582.587312579155
17089854508,8891.83538722992
17089852104,2482.0342407226562
17089852406,5012.527838468552
17089854402,14060.346885681152
17089853601,8939.423828125
17089852004,6816.487487792969
17089853602,12933.42822265625
17089850708,7340.350456237793
17089850710,7067.717402458191
17089851911,7027.0926513671875
17089850706,3621.0996397808194
17089850707,15805.687348723412
17089850711,6150.768618583679
17089850709,4716.958867788315
17089852405,6543.452209472656
17089852408,8853.181300878525
17089854507,11281.202686429024
17089851913,10028.372619628906
17089851912,8588.73834991455
17089854403,9865.669403076172
17029000200,8467.912149757147
17029000600,5507.803267045645
17091011500,5696.842681884766
17029001100,4137.4117436409
17089852903,15997.804106712341
17143003403,5381.0378049016
17143003404,11548.59183511138
17089852905,4263.132385253906
17089853001,4281.94625556469
17163503101,4663.697495102882
