0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,BoroCT2020
0.29431698,-0.15586479,0.8803033,-0.009515317,0.1410978,0.70667744,-0.08189923,0.041812655,-0.03296182,0.46695536,-0.15101103,0.5582871,-0.053352688,-0.048362367,-0.092419766,0.1224991,-0.18643937,0.31304824,-0.17078888,-0.07743457,0.19532639,-0.06283238,-0.050246038,-0.039021075,-0.004666445,0.5992956,0.056505464,-0.09156972,0.3655241,-0.12107943,0.23455058,0.7353015,0.46118858,-0.20082635,0.18512249,0.5095845,0.33476946,0.51040125,-0.036244255,-0.007698097,0.33436552,0.578625,0.37157074,-0.13775179,0.29766753,-0.1518016,-0.09689707,-0.033414256,0.19041383,0.276857,0.7538348,0.19284391,-0.0782052,0.017143149,0.2356221,0.27801517,-0.24716245,-0.09077117,-0.057999443,0.24485166,0.30900365,0.18250844,-0.020759962,-0.053792764,1000100
0.33016756,-0.15421793,0.96193504,-0.004215194,0.17101301,0.8092924,-0.08279625,0.04068707,-0.033683732,0.50415766,-0.16930692,0.5285104,-0.04724692,-0.05212066,-0.08982166,0.11391201,-0.18574989,0.32279888,-0.17533866,-0.05902082,0.16794097,-0.06092621,-0.05674832,-0.048730686,-0.014555439,0.6413223,0.061601914,-0.10592898,0.4567921,-0.12365688,0.25735295,0.78221935,0.47554544,-0.22035436,0.2004853,0.5232415,0.33298483,0.53874755,-0.049407862,-0.015788946,0.3059562,0.67729324,0.37237826,-0.14137153,0.40498713,-0.13883321,-0.10774864,-0.028320512,0.17675923,0.19960631,0.76749593,0.17740034,-0.060493328,0.031060921,0.21503071,0.22978273,-0.25464997,-0.09323079,-0.059004445,0.2431857,0.2842962,0.1997507,-0.01780438,-0.04765353,1000201
0.41377288,-0.1585838,1.0351775,-0.00881876,0.22099632,0.8493522,-0.077058814,0.11383287,-0.02767226,0.48744223,-0.20430185,0.5832556,-0.055748742,-0.06840521,-0.10590544,0.12896997,-0.23494633,0.4440697,-0.2127771,-0.07092144,0.2305299,-0.0571668,-0.044590645,-0.052704424,-0.025047569,0.64546686,0.0780194,-0.12557347,0.44523865,-0.15004115,0.31799978,0.86144537,0.59646726,-0.25988513,0.25251183,0.5658949,0.3675703,0.6149842,-0.048874237,-0.005346172,0.39945588,0.71041065,0.37294927,-0.16836753,0.5030265,-0.14005105,-0.111972764,-0.028423714,0.22444284,0.29278284,0.8391427,0.25017527,-0.056627255,0.05703828,0.20028152,0.24173823,-0.29993856,-0.113776885,-0.074423976,0.41448864,0.34762624,0.2110341,-0.02443117,-0.07110311,1000600
0.34850106,-0.08661332,0.66077065,-0.0014557699,0.19685209,0.55031806,-0.035706602,0.16537786,-0.00086838094,0.25087035,-0.1606772,0.3493966,-0.039040867,-0.060287528,-0.07074704,0.07279021,-0.19299093,0.41096756,-0.16069297,-0.047081977,0.20396474,-0.02073459,-0.007057655,-0.037635054,-0.029600123,0.3804572,0.07022015,-0.10063997,0.23605983,-0.1090443,0.26983026,0.5755726,0.47803566,-0.19392563,0.2361906,0.34726694,0.225221,0.44886076,-0.02965751,0.035138004,0.31103396,0.47119638,0.1785701,-0.123644575,0.4391399,-0.06373463,-0.0710649,-0.009960313,0.16622457,0.21336104,0.52848536,0.18739103,-0.01595793,0.062532686,0.053642172,0.11488908,-0.22084,-0.08475289,-0.06836345,0.4330776,0.24996136,0.1409152,-0.025434213,-0.06542863,1001401
0.35275802,-0.0980062,0.78500694,0.014599481,0.25834578,0.6409981,-0.038177427,0.0800869,-0.007978835,0.29788885,-0.17519456,0.408722,-0.028419677,-0.06651306,-0.076159015,0.083652034,-0.2023002,0.42461014,-0.17305194,-0.034301136,0.21745053,-0.032440703,-0.007444304,-0.053798962,-0.04154091,0.46214864,0.10560453,-0.108712934,0.34715086,-0.107002474,0.29018474,0.6841285,0.5604789,-0.21804126,0.26401186,0.36257723,0.21869208,0.44648245,-0.03349482,-0.001377283,0.27438292,0.5708638,0.17091464,-0.12994513,0.5328748,-0.06763712,-0.07994102,-0.018798314,0.21445939,0.19983646,0.5897464,0.21687433,0.0044830753,0.090613075,0.062719315,0.071868755,-0.23812288,-0.096420236,-0.06781702,0.4487804,0.20306213,0.124455854,-0.028875627,-0.069820665,1001402
0.43938985,-0.09655224,0.71562034,-0.003369695,0.24732205,0.56191,-0.049965918,0.29427135,-0.015545843,0.30612886,-0.18638417,0.4513161,-0.06472564,-0.071708374,-0.091928855,0.095127106,-0.2313428,0.50534505,-0.19907565,-0.085841805,0.29859635,-0.019051023,-0.0077793766,-0.032918118,-0.03533733,0.3732584,0.12063312,-0.113195136,0.2128192,-0.1248069,0.33824694,0.6770963,0.5481011,-0.21949044,0.24721712,0.4016023,0.31843928,0.61058605,-0.031817265,0.077137604,0.4420808,0.4574395,0.24983895,-0.15579161,0.483187,-0.09429005,-0.06827907,-0.015778136,0.21396767,0.31116122,0.64542514,0.24917062,-0.041476138,0.058151707,0.0716171,0.21024653,-0.26614013,-0.09417804,-0.089872815,0.5564834,0.34381053,0.15723877,-0.031365965,-0.08325853,1001800
0.34778643,-0.11628387,0.8273948,-0.016161256,0.19912168,0.64694595,-0.061998006,0.14027949,-0.012712671,0.4274314,-0.15641935,0.58532614,-0.016900567,-0.042649485,-0.108950466,0.10238452,-0.19193858,0.43821105,-0.1817426,-0.055835407,0.23669866,-0.03580492,-0.026368756,-0.050022386,-0.0303609,0.4565541,0.20643465,-0.11042842,0.34841964,-0.11514398,0.2804403,0.7463902,0.5288007,-0.21537934,0.22832133,0.3813585,0.33090472,0.6117872,-0.04534286,0.016706144,0.30234998,0.5850456,0.20521547,-0.17185362,0.49127135,-0.13067828,-0.10145746,-0.046943694,0.18767934,0.2406023,0.69759184,0.2330052,-0.034977,0.08240353,0.23956455,0.16302833,-0.2457599,-0.08408491,-0.08009197,0.41161945,0.23900086,0.1251111,-0.007981353,-0.067429475,1002201
0.33425444,-0.12201977,0.8112622,-0.02250974,0.18027826,0.63488877,-0.06818076,0.13000268,-0.008213448,0.410632,-0.14893445,0.5915856,-0.011419588,-0.033665624,-0.11106182,0.09883236,-0.18976344,0.4151288,-0.1793997,-0.061409973,0.23368561,-0.036209058,-0.025914032,-0.04329145,-0.018641433,0.4369209,0.19708249,-0.09836414,0.3122155,-0.114994235,0.25648102,0.7271603,0.52647704,-0.20680301,0.21440482,0.40182397,0.34650335,0.5996187,-0.038089644,0.02868867,0.3077855,0.5585114,0.22474617,-0.1720353,0.42615986,-0.1409421,-0.10159281,-0.054933395,0.18050894,0.28990635,0.70613647,0.22622092,-0.046865307,0.062429726,0.2700302,0.17869948,-0.24085428,-0.08018561,-0.08048868,0.3777998,0.24902433,0.13043898,-0.0051626405,-0.06890306,1002601
0.21810913,-0.10523844,0.65820813,-0.01489103,0.21154527,0.41629356,-0.05871975,0.12542115,0.08339323,0.23961535,-0.14760467,0.51587105,-0.0019873425,-0.062838964,-0.095876165,0.06435429,-0.1897156,0.5247031,-0.17471178,-0.053581335,0.21839443,-0.012892956,0.07245806,-0.054740734,0.021971116,0.38899732,0.1966145,-0.098574996,0.30009538,-0.09952251,0.395757,0.5640211,0.6103923,-0.18837455,0.15479282,0.41010234,0.20317581,0.3516788,-0.018554721,0.12959073,0.2851037,0.37117434,0.18904029,-0.14778987,0.39341387,-0.0936705,-0.099544704,-0.032444783,0.20397036,0.33828044,0.57683545,0.2554943,-0.010672769,0.11108487,0.19038981,0.20379277,-0.2365601,-0.06771427,-0.069249436,0.44098648,0.012079515,0.040712852,-0.04845392,-0.06803664,1002602
0.3186218,-0.14063433,1.0075707,0.020656873,0.2453898,0.875665,-0.0624075,0.0030650701,-0.020517219,0.4650914,-0.19754823,0.4759108,-0.029683726,-0.06129572,-0.07779184,0.07364103,-0.1950594,0.39498338,-0.17313735,-0.00860466,0.1403616,-0.04280653,-0.03649997,-0.069553696,-0.032380827,0.7203259,0.09766768,-0.13437533,0.5788266,-0.12568058,0.287858,0.79859215,0.60190976,-0.2419292,0.23942153,0.4958335,0.22590543,0.41596454,-0.054325473,-0.0202348,0.2117056,0.7846585,0.28898853,-0.13233857,0.5587305,-0.091133416,-0.12727694,-0.033573613,0.25199845,0.13773115,0.7342052,0.19109039,-0.0018447296,0.08580745,0.14936401,0.14152278,-0.26100534,-0.102894515,-0.04592385,0.29833505,0.09917148,0.15612091,-0.029629542,-0.05506988,1002800
