GEOID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
17031010100,1.1199836,0.3866052,0.5471848,1.430042,0.7672605,1.9920819,1.1007674,1.1252837,1.9286692,-0.24496114,-0.37844092,-0.26784793,0.41923532,1.8972282,-0.4813612,0.30303365,2.9840162,0.6468871,0.23598953,-0.28043115,0.16084045,0.9267933,0.72655535,1.9972794,0.32400766,-0.21820489,-0.49650437,-0.12993485,1.7826737,-0.17536242,0.15170631,3.1488094,-0.32089597,0.5020082,0.27072617,0.28133416,-0.19573155,-0.3387415,-0.3717457,-0.67893124,1.2965957,0.7304366,-0.09390342,2.3549867,-0.4776401,0.4387512,0.0010295659,1.5131239,0.90429974,-0.06493828,1.5061482,0.6433736,0.7899684,0.68397105,2.6093295,1.2074741,0.009428978,1.8228964,0.43713018,0.59974045,0.41047275,1.5742508,-0.45493022,1.1156138,0.109713644,0.009667262,2.7196438,0.41774425,2.0297503,-0.3499392,0.66636944,-0.2647172,1.7449417,1.6576641,0.4709998,1.5851119,-0.15902397,3.019896,-0.5038623,2.1824152,-0.3226307,0.13197505,0.04099016,0.0053982437,-0.53927016,1.1265855,0.6295452,-0.13633247,3.7601871,-0.101759315,0.81881726,1.8228538,0.014588565,0.01886332,-0.62305355,0.5059047,-0.38955832,-0.8635943,-0.15018135,1.7452666,1.9618148,-0.0008492619,-0.06771835,0.2907825,-0.29832315,1.6528716,-0.64043343,1.2427394,0.19278166,-0.22062284,-0.2725613,3.5858057,0.050504506,-0.20985986,-0.23207848,0.12846208,-0.056736454,1.8229133,-0.41630572,-0.40872282,2.1958947,-0.35273415,-0.39938778,1.611419,0.3065801,-0.33442903,0.1491335,-0.41908205
17031010201,1.155044,0.36021388,0.5886929,1.3063323,0.83432055,1.8260078,1.0853171,1.0248898,1.915741,-0.15973614,-0.38847932,-0.31749147,0.1459711,1.8472596,-0.48339832,0.5240843,2.9964316,0.76231724,-0.05621617,-0.380529,0.3439091,0.87862206,0.8408946,1.9882414,0.46465597,-0.08873826,-0.547477,0.25337422,1.7513982,-0.2227546,0.09038079,2.7936406,-0.44223613,0.24570015,0.33870584,-0.099373356,-0.20553017,-0.19416934,-0.25215024,-0.6077688,1.6708769,0.63065773,-0.23497975,2.1052551,-0.5711291,0.32092324,0.17281497,1.0333169,0.975013,-0.27833968,1.4634242,0.54305214,0.75178987,0.67136776,2.5264924,0.8705579,-0.26021606,2.2264347,0.75773025,0.38691074,0.37639815,1.6042266,-0.48075473,0.79420435,0.19403668,-0.3013314,2.7810488,0.5363489,1.8275367,-0.3229356,0.58057,-0.029379368,1.6606214,1.2815359,0.22364055,1.6894733,-0.08268848,2.5570574,-0.37165967,2.4557557,-0.4081007,0.001892671,-0.14051716,-0.08033352,-0.5470736,1.3738185,0.82362276,-0.07625856,4.0616255,-0.20616129,1.1590677,2.0826035,0.2028768,0.29994226,-0.56104815,0.36694777,-0.4328072,-0.85573274,-0.14850488,1.7050691,1.5641534,0.09159535,0.050262462,0.5056726,-0.25707948,2.066723,-0.72648656,1.4747337,0.2509186,-0.14959016,-0.20385377,3.8134365,-0.22973481,-0.06456362,-0.35037282,0.2981277,-0.06660639,1.8665537,-0.40024024,-0.41953307,2.1358998,-0.3323059,-0.40826637,1.6447564,0.31195822,-0.3555385,0.34122795,-0.30263415
17031010202,1.1357797,0.56284606,0.43741927,1.3115817,0.7374035,1.8089474,1.1978612,1.073771,1.9537008,-0.22095546,-0.42677608,-0.2779618,0.21101561,1.9194486,-0.4785974,0.45931107,3.0359144,0.765448,0.038204122,-0.3102894,0.33997202,0.7477671,0.79272866,2.0539422,0.4181938,-0.24602102,-0.4804137,0.04918936,1.7880573,-0.1731064,0.29705366,2.8380742,-0.4028607,0.46075264,0.22578555,0.15591714,-0.21825793,-0.2993699,-0.33129817,-0.663643,1.4672163,0.66768456,-0.12181358,2.1470897,-0.4953435,0.3308982,0.16723925,1.1380751,0.88237894,-0.15256836,1.4425411,0.51436096,0.7778702,0.76386297,2.582813,1.1571506,-0.08950999,2.0666993,0.560774,0.42694873,0.41650906,1.5591094,-0.45600134,1.0135064,0.08873868,-0.0939355,2.766256,0.49879652,1.8629972,-0.34767237,0.6163626,-0.16188276,1.6412311,1.4678059,0.47530317,1.7653855,-0.11932711,2.7483554,-0.48742044,2.2580168,-0.39819753,0.08095814,0.08427947,0.16227195,-0.46513516,1.2524973,0.8140334,-0.101635665,3.75487,-0.10614464,0.9633756,1.9065624,0.14750722,0.18855205,-0.59995806,0.49939165,-0.39877516,-0.85034347,-0.1483167,1.6076255,1.797641,0.12287083,-0.012835197,0.48617148,-0.3493172,1.8108659,-0.68547654,1.4212914,0.2389001,-0.19260795,-0.19197056,3.7290354,-0.11017659,-0.24775293,-0.25732225,0.21445805,-0.11244709,1.728178,-0.3927092,-0.38393512,2.2170079,-0.36260188,-0.3761208,1.5940332,0.30100963,-0.31578144,0.27539212,-0.40110266
17031010300,1.1223242,0.5011809,0.8357066,1.4158472,0.8140251,1.6894578,0.9616408,1.0809494,1.9121432,-0.18584977,-0.36309475,-0.37162766,0.3509021,1.5331792,-0.4561512,0.356272,2.9269753,0.80029565,-0.009264547,-0.27676362,0.39248863,0.890983,0.6604348,1.8797536,0.4157833,-0.22858939,-0.505533,-0.05759974,1.7195746,-0.19191238,0.20141344,3.0892622,-0.47108108,0.47992933,0.22681215,0.01152394,-0.19822428,-0.4077654,-0.2184871,-0.5616424,1.5419191,0.7450222,-0.14193507,1.990078,-0.5640092,0.4137041,0.18064539,1.1613079,0.9647076,-0.14159232,1.5048876,0.5707454,0.8068209,0.6333387,2.6063886,1.037379,-0.054031797,1.8360505,0.46012285,0.54786503,0.5007079,1.6575255,-0.47225654,1.0420877,0.103033744,-0.111598745,2.8179793,0.46254268,1.9905977,-0.2914528,0.7112849,-0.10532911,1.4329003,1.2761045,0.431865,1.6790943,-0.07118179,2.8724704,-0.4859084,2.2717316,-0.39588958,0.01954478,-0.04084696,0.06824419,-0.55346274,1.1671717,0.7376576,-0.19216797,3.8756118,-0.1653707,0.9311582,2.1230931,0.049839616,0.09228045,-0.5220265,0.47198245,-0.3920467,-0.8492919,-0.108714305,1.7293797,1.7018704,0.117406234,-0.053366013,0.40723586,-0.3007024,2.187126,-0.7065294,1.3293121,0.21090578,-0.13383135,-0.23473756,3.7487597,-0.02143751,-0.18127768,-0.13116613,0.23899087,-0.03362687,2.0328698,-0.40950236,-0.39116952,2.1731248,-0.33285624,-0.38621223,1.4861999,0.31731495,-0.37220937,0.24105123,-0.3962537
17031010400,1.3040314,0.58228356,0.54043716,1.5240221,0.6650729,1.8174722,0.95193565,1.0663493,1.707394,-0.19149545,-0.36215103,-0.27559257,0.6317518,1.7130601,-0.5113443,0.19033775,3.053447,0.8222953,-0.055426866,-0.18540585,0.23172176,0.60809255,0.6713267,2.020896,0.38052058,-0.13840531,-0.3591079,-0.06837146,1.4801427,-0.15262249,0.38015252,3.1924045,-0.49130064,0.68156326,0.31470817,0.23055567,-0.18517515,-0.25508958,-0.28651458,-0.61467296,1.2488438,0.82463884,-0.020216033,1.8045683,-0.47334677,0.62847346,0.34566167,1.2688863,0.96364594,0.074551225,1.5231371,0.6114562,0.84418494,0.56521225,2.3406887,1.0395566,0.26568544,1.4673439,0.48788503,0.67690635,0.48906884,1.5419112,-0.5095541,1.2828827,0.22161031,0.21372277,2.5871475,0.3242663,2.0719922,-0.35917854,0.77913177,-0.2301891,1.484276,1.5437329,0.5355011,1.6926124,-0.06507988,3.0093389,-0.5784973,2.3287268,-0.36234266,0.15211973,-0.023764975,0.08570954,-0.5773638,0.97005415,0.6729661,-0.16897789,3.4854348,-0.075463325,0.75522363,1.8357265,-0.08295061,-0.05508399,-0.47057045,0.52626014,-0.37312734,-0.86538076,-0.15858427,1.6325907,1.8761874,-0.053574204,-0.16783568,0.17093205,-0.23401703,2.0185342,-0.7018573,1.3547084,0.15135409,-0.20775658,-0.19776152,3.7703736,0.2231189,-0.19113956,-0.17001098,0.08850391,0.045493647,1.9767357,-0.43099016,-0.3559166,2.183344,-0.30098507,-0.32293314,1.2941779,0.36842504,-0.32886946,0.03244829,-0.42706853
17031010501,1.1318575,0.7036597,0.5192145,1.3941472,0.69139194,1.7129678,1.2622161,1.392615,1.8114094,-0.26520464,-0.3799016,-0.35395753,0.6127925,1.8303466,-0.5101703,0.37354934,3.15462,0.8229145,0.0003227219,-0.27998403,0.21282959,0.8404373,0.7209443,1.9767001,0.39934382,-0.2524042,-0.4315747,0.20377001,1.9156841,-0.15812458,0.14765483,3.1623356,-0.42875987,0.53704005,0.26778436,0.045212,-0.1929176,-0.33303744,-0.27326056,-0.6330421,1.3072815,0.81007874,-0.0516283,1.9837799,-0.54266477,0.5214672,0.1049584,1.39148,1.1778271,-0.050533324,1.5651006,0.49041578,0.812405,0.76995444,2.3568473,0.9706857,0.06328635,1.6825337,0.6713663,0.61348265,0.5366534,1.5523778,-0.5590975,1.3971756,0.19908373,0.08217998,2.6866286,0.42530173,2.0518134,-0.3651757,0.8067558,-0.26010337,1.5215148,1.6888539,0.2965886,1.6125709,-0.13334532,3.108418,-0.48981357,2.4204807,-0.4141458,0.17919974,-0.036671557,-0.119392894,-0.60080695,1.0762867,0.6063856,-0.076091155,3.6013496,-0.09348263,0.83550185,1.869543,-0.03943169,0.11423671,-0.543896,0.45877275,-0.35742208,-0.9040457,-0.18085304,1.4086481,1.8091629,-0.063382305,-0.09392599,0.23810722,-0.34288064,1.7830496,-0.7115854,1.366413,0.23405516,-0.18845773,-0.16451864,3.5378404,0.066000134,-0.26605234,-0.30235463,0.13507918,-0.07961687,1.6192404,-0.3594283,-0.4163767,2.0258791,-0.30721506,-0.28317487,1.380036,0.24855885,-0.29417923,0.060351282,-0.31831524
17031010502,1.1895964,0.56084126,0.48734477,1.260335,0.7850247,1.4996884,1.3600745,0.89302397,1.8657581,-0.24359715,-0.2857956,-0.27293456,0.29966372,2.1823978,-0.4706626,0.48935765,3.080991,0.7658213,0.32167837,-0.37707222,0.010498531,0.72155243,0.78868145,1.7676783,0.8035513,-0.20837632,-0.5090642,-0.20106797,1.9062908,-0.23527469,0.12312397,3.3207269,-0.42806098,0.35267255,0.46531868,0.083474904,-0.17914514,-0.04498291,-0.31696245,-0.60510504,1.1909964,0.7486405,-0.22837374,2.2704892,-0.49704883,0.47964004,-0.07834862,1.6401527,1.2728115,-0.22171146,1.4292026,0.5842587,0.7656122,1.1093198,2.4396195,0.81783915,-0.23238802,1.9564211,0.76012075,0.59989834,0.43654713,1.6089278,-0.4802039,1.1569763,0.08190937,-0.17653587,3.213903,0.60276204,1.8026984,-0.33940962,0.66755056,-0.17988932,1.7816513,1.5318818,0.6571711,0.9945421,-0.22194642,3.104282,-0.46657223,2.3113317,-0.22237031,0.01768127,-0.17554621,0.054161787,-0.553041,1.2292643,0.896731,-0.20258233,3.5146751,0.14283675,0.97442555,1.8668724,0.23708364,0.24399559,-0.38806733,0.46335098,-0.3466138,-0.88794875,-0.3355953,1.7592582,1.4806703,-0.11745572,-0.10077205,0.43244416,-0.22654733,1.6408598,-0.6713599,1.3709838,0.22974971,-0.18316394,-0.2394129,3.6990662,-0.04304762,-0.091301665,-0.33603466,0.32586837,-0.18418817,1.7787688,-0.362404,-0.46901286,1.643271,-0.30089405,-0.39231247,1.4414713,0.27077138,-0.26914495,0.2732746,-0.34783247
17031010503,1.1415285,0.39552966,0.64804405,1.2841405,0.786921,1.7950661,1.4021757,1.0185959,1.8880433,-0.20475215,-0.35558283,-0.27398163,0.18113664,1.8488567,-0.46049494,0.5822915,2.8913493,0.8839475,-0.023412237,-0.3456778,0.39059013,0.53861165,0.8119438,2.027384,0.6170344,-0.2538859,-0.4940231,0.16746502,1.8499379,-0.18871593,0.22098513,2.899907,-0.4225738,0.25020757,0.3218688,0.14477001,-0.16058332,-0.1993525,-0.29094633,-0.6363886,1.664887,0.7120452,-0.1535375,1.981831,-0.5334759,0.309251,0.09641229,1.2077072,0.98207784,-0.23400706,1.4265876,0.68554425,0.7250167,0.8829818,2.533583,0.7849481,-0.26572818,2.2352536,0.62003493,0.3126543,0.48795605,1.5792419,-0.4832925,1.1089848,0.15837753,-0.2243141,2.9095554,0.54180944,1.7056469,-0.28834862,0.5903828,-0.2949631,1.6026102,1.4340433,0.3085361,1.4863856,-0.13664174,2.6330767,-0.43012172,2.2351775,-0.40696174,-0.00025454164,-0.07444623,0.09906489,-0.47672516,1.3501161,0.9867772,-0.018991508,3.789866,-0.08407159,1.0897614,1.9387269,0.29817882,0.30632275,-0.46827373,0.47502467,-0.40629065,-0.8766063,-0.2109819,1.5698726,1.585876,0.14580446,0.010474123,0.54333836,-0.2876066,1.737813,-0.6365459,1.510402,0.28534234,-0.22931978,-0.20082182,3.9287605,-0.18262607,-0.16019794,-0.28772223,0.3573475,-0.08457959,1.7002063,-0.364355,-0.5128455,2.1777058,-0.32933742,-0.43710297,1.5914444,0.23543848,-0.3677619,0.28642341,-0.32526177
17031010600,1.1453714,0.71433973,0.6145207,1.2999012,0.74480337,1.6034883,1.161246,1.2559196,1.9132305,-0.20514631,-0.39489305,-0.30400667,0.22036181,1.7367908,-0.43961746,0.51241076,3.010615,0.9792906,0.10035625,-0.3231521,0.45352638,0.77268326,0.65010077,1.9611505,0.51559544,-0.30537897,-0.490799,0.017340377,1.9706044,-0.15095587,0.06236604,2.8626258,-0.36718604,0.4890724,0.23846512,0.20365518,-0.21519984,-0.37779796,-0.34137952,-0.65211487,1.4644699,0.691368,-0.15947105,2.0966933,-0.5792583,0.29524925,0.16650718,1.2612021,1.1858679,-0.19497249,1.4172232,0.4392061,0.7885187,1.0331342,2.6865294,0.9944103,-0.17763351,2.0622652,0.5029369,0.38612127,0.5460264,1.6165249,-0.51102144,1.1375799,0.058326438,-0.12187084,2.8723402,0.54957014,1.8225231,-0.30607688,0.6112942,-0.26932406,1.4653105,1.2987212,0.390321,1.6058881,-0.12019788,2.7027636,-0.42802346,2.2558305,-0.3642148,0.073745444,0.07509658,0.045298234,-0.4596866,1.2573237,0.7569036,-0.16411406,3.7188206,-0.108601086,1.0223657,1.9612342,0.1654122,0.22675782,-0.620788,0.45153394,-0.34476075,-0.8786604,-0.14987236,1.5690725,1.7120488,0.10413745,0.02464974,0.47866035,-0.33313844,1.7558644,-0.693357,1.3530133,0.29380983,-0.19112569,-0.19623086,3.8230443,-0.08668353,-0.19984004,-0.22374827,0.26894855,-0.09958415,1.763035,-0.35732788,-0.45413265,2.1404781,-0.33360553,-0.3450249,1.548763,0.28043362,-0.33788183,0.28107882,-0.391877
17031010701,1.1862739,0.40965205,0.874742,1.2379943,0.9017194,1.7162298,1.1910264,1.0357502,2.0547137,-0.1832153,-0.35549417,-0.3971122,0.20592141,1.5706943,-0.3613995,0.54608494,3.1426659,1.0734484,-0.0035323016,-0.3277084,0.44667226,1.1125561,0.77813035,1.9261932,0.46602416,-0.22637504,-0.517847,-0.07649066,1.7585742,-0.17604193,-0.0075550806,2.7533662,-0.403055,0.29265,0.2975074,-0.005085483,-0.20488271,-0.44229865,-0.2833858,-0.5994564,1.563855,0.60538054,-0.32634652,1.9908563,-0.6019787,0.16722855,0.1475176,0.95662916,0.7730418,-0.3096578,1.3567065,0.37695253,0.8784844,1.0306947,2.6650531,1.3754259,-0.2991447,2.2585025,0.31679052,0.35773855,0.28000003,1.7150306,-0.45401323,0.8588415,-0.024854966,-0.28900027,3.1602416,0.6594864,1.6710007,-0.4262951,0.5005769,-0.25770253,1.6037995,1.2150683,0.7073194,1.5982859,-0.12284778,2.4636836,-0.4333257,2.0289855,-0.363761,-0.1309801,0.22070159,-0.08269502,-0.4995472,1.3646591,0.8837273,-0.21158803,3.6948297,-0.21535102,1.0728812,1.8497376,0.30128017,0.32330567,-0.34526187,0.526897,-0.40852648,-0.7841204,-0.12603013,1.8787962,1.9331374,-0.009154402,0.10005267,0.6188206,-0.29972458,2.1223073,-0.79440504,1.3174626,0.37821463,-0.1832664,-0.21019173,4.0346413,-0.20913418,-0.08395083,-0.10500566,0.37426347,0.079470396,1.7090203,-0.42357767,-0.45940086,2.0915942,-0.35961932,-0.42386085,1.708284,0.17920496,-0.41280174,0.41970176,-0.43549967
