GEOID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
17031010100,0.91136575,0.8982918,1.0633689,0.6405314,0.5640413,1.1169865,1.077179,1.2484412,0.9405765,0.42921755,0.64454925,0.47075912,0.70542526,0.89113057,0.50344944,0.70464313,0.7234267,0.4075476,0.89001524,0.9084677,0.41162366,1.026611,0.9836924,0.94662005,0.5948879,1.0289378,1.0747974,0.88748384,0.6472208,1.160092,0.80612475,0.61192405,0.4826404,1.0723,0.7288523,0.7957803,0.75549996,0.8495383,0.58635765,0.60565686,0.9878306,0.42193022,0.4325414,0.6722857,0.63060737,0.5941026,0.75435925,1.0030499,0.63844955,0.61416095,0.96248245,0.84252524,0.91518605,0.6859121,0.6107256,0.5850876,0.972214,0.48363656,0.55027163,1.4508698,1.1989038,0.76875865,1.1616855,0.7788897
17031010201,0.8664093,0.9967998,0.9317931,0.71671325,0.6678814,1.0816636,1.0695162,1.1023175,0.91806054,0.4217794,0.6039632,0.3986693,0.715243,1.0267416,0.54131854,0.7117424,0.6966557,0.5101955,0.8828926,0.9176034,0.33354333,0.87346077,1.0541818,0.9669159,0.5987487,0.8919523,1.1152531,0.7814853,0.6831788,0.9985263,0.67806315,0.6743412,0.4995821,0.9349016,0.81500924,0.7815856,0.6575444,0.90629506,0.59009767,0.5188318,0.8769027,0.47171313,0.46831304,0.64714897,0.5477823,0.6076455,0.67808837,0.93604887,0.5727297,0.5622063,0.9454706,0.84099495,1.0383679,0.7724172,0.5428469,0.57186055,0.8760506,0.4381758,0.4402921,1.2305832,1.0353154,0.7959617,1.1472801,0.89789003
17031010202,0.81608534,0.86062384,0.8482944,0.7106334,0.6556304,1.0496942,0.8787923,1.0399354,0.7659378,0.41161615,0.59987426,0.47393376,0.79209685,0.85192287,0.57288903,0.60325205,0.6327074,0.49084854,0.8121904,0.814404,0.40963238,0.8840233,0.9265765,1.0789859,0.63254863,0.8437549,0.8857413,0.7110112,0.7440098,1.0041842,0.6461513,0.57279575,0.49795902,0.90810394,0.71875536,0.81370753,0.76794034,0.8532277,0.5720295,0.57033896,0.8633016,0.45157647,0.55499995,0.620455,0.55090415,0.6074881,0.699046,0.8169061,0.51769984,0.5108316,1.0523179,0.9548253,0.89480877,0.6710775,0.6489408,0.57098764,0.7868688,0.42379308,0.5015882,1.1521976,1.1231822,0.7416187,1.115582,0.7129865
17031010300,0.9942423,0.95937,0.97587574,0.74299335,0.74352926,1.1175188,0.9523792,1.122061,0.84644884,0.43579194,0.64088726,0.43229657,0.7303723,0.7522172,0.51042736,0.59757286,0.69455457,0.5971303,0.94055766,0.68794906,0.34336436,0.96618634,1.008231,0.989969,0.6336265,0.9298511,0.90965235,0.7978242,0.6369485,1.1301019,0.7030458,0.51247835,0.49323153,1.0126394,0.76088625,0.8083836,0.7061129,0.8922554,0.5946896,0.5922092,0.9271697,0.46826795,0.54757226,0.6003784,0.5819057,0.58978534,0.7169763,0.9512962,0.6285678,0.56632936,1.029812,0.8309601,0.86094457,0.84193724,0.53719926,0.6427934,0.9136125,0.4429078,0.5230626,1.2791207,1.1593294,0.7810078,1.2023418,0.6625008
17031010400,0.93444943,0.83679575,0.95124054,0.6684471,0.66291845,1.0172846,1.0060503,1.0725384,0.81369805,0.37665075,0.5793395,0.4872358,0.8164867,0.85524464,0.47564843,0.64774853,0.66013944,0.5059897,0.90150917,0.8657945,0.42475873,0.87556475,0.8841098,1.1639595,0.6012409,0.86799353,1.0146383,0.790246,0.69551194,1.0388035,0.6697179,0.5743764,0.4245272,0.90901107,0.68543243,0.836271,0.75702256,0.8388854,0.5301126,0.56527007,0.94628286,0.41870087,0.55787766,0.6168531,0.53185153,0.591048,0.6787087,0.85468197,0.5841392,0.5617853,1.0936326,0.93785906,0.874219,0.65896726,0.6662765,0.52286994,0.8909862,0.40090024,0.48652148,1.3012738,1.148848,0.7318669,1.0563363,0.71947044
17031010501,0.8987901,0.97905594,0.9363802,0.57085216,0.6333691,1.0943134,1.0138744,1.0466167,0.7455176,0.4727178,0.64836335,0.4743793,0.67949665,0.8546374,0.50001764,0.7238279,0.70597553,0.47146255,0.8493717,0.83195364,0.4470485,0.8552023,0.9899928,1.0997639,0.6818766,0.861218,0.9823478,0.7866466,0.51184744,1.0239254,0.65992457,0.60306,0.54212254,0.9924104,0.7396389,0.8956717,0.75056183,0.94128287,0.5487277,0.63904035,0.8688856,0.5592669,0.520523,0.64038813,0.56623435,0.63472605,0.7073283,0.854699,0.5804617,0.5676536,1.0467483,0.9445057,0.9083681,0.78756595,0.61720836,0.5930886,0.819934,0.43999234,0.46298957,1.2100972,1.1695973,0.7010267,1.169075,0.7289355
17031010502,0.98508966,1.0824232,1.047271,0.59424555,0.6695216,1.1850556,0.9539181,1.2477865,0.9679298,0.47030714,0.6625651,0.39089406,0.70705795,0.84650624,0.6033473,0.58482945,0.7249241,0.61206603,0.9470049,0.67258584,0.40125668,1.0685539,1.1255918,1.0613415,0.65842557,1.0056703,0.97151834,0.8918034,0.7085287,1.0306833,0.8127891,0.5133081,0.5451454,1.1165264,0.8016622,0.7616868,0.750267,0.96126497,0.61676276,0.62314254,0.89893657,0.422871,0.3650347,0.730212,0.6047411,0.5593449,0.75276166,1.0104979,0.6662688,0.5918231,1.0765,0.91459703,0.9124769,0.7355,0.57793623,0.72937536,0.97364974,0.47715268,0.46892184,1.4124565,1.2221627,0.8243989,1.2979486,0.6754664
17031010503,0.8969443,0.962638,0.9622458,0.71120536,0.608461,1.1651083,0.9147773,1.1899828,0.9016275,0.45631778,0.67350197,0.41638958,0.7022232,0.839141,0.4541648,0.6446495,0.6788574,0.552238,0.82351816,0.7279883,0.41420105,1.053235,1.0029517,1.059183,0.6406865,0.95434403,0.9113215,0.78266466,0.6729062,1.0899068,0.7759124,0.5574905,0.4505082,1.0902394,0.7242197,0.75564444,0.73261964,0.86053956,0.6286626,0.6322647,0.921823,0.5394163,0.51876783,0.55872047,0.55721825,0.58081937,0.76195574,1.003577,0.56112087,0.54567975,1.000637,0.82394445,0.87045896,0.7930896,0.62024516,0.6518997,0.8761238,0.45657477,0.5372773,1.2978756,1.2350715,0.7714064,1.207118,0.6815563
17031010600,0.86803865,0.9780077,0.8669516,0.6126375,0.7071252,1.044602,1.0575145,0.98846096,0.8031664,0.3857447,0.5921571,0.53631246,0.71734107,0.9894496,0.5179978,0.7448948,0.58813685,0.49068397,0.8979353,0.90052557,0.4162928,0.8035954,0.97684443,0.98051107,0.63257384,0.8122895,1.0620624,0.74630225,0.7143237,1.1237576,0.64040947,0.6184509,0.45527908,0.8398887,0.7446754,0.8809533,0.658689,0.9006957,0.5659952,0.50973886,0.9631437,0.4874847,0.60057855,0.66958094,0.5371863,0.6181725,0.65947556,0.8105118,0.5857228,0.579502,0.93449676,0.8374358,0.98238426,0.6260111,0.5999038,0.53303844,0.8828095,0.44803527,0.5490959,1.2454578,0.9570079,0.72230256,1.0885743,0.8035557
17031010701,0.83595645,0.9582832,0.955612,0.6511307,0.7242881,1.0759275,0.9587563,1.14141,0.9640899,0.42375463,0.57101214,0.42621982,0.71932226,0.8932681,0.4932071,0.65312886,0.5749568,0.42262357,0.9149164,0.8287361,0.34702826,0.86850595,0.9397058,1.0653414,0.5868702,0.82506156,0.96895754,0.7492738,0.8117962,1.1779171,0.7373414,0.52660185,0.46573928,0.920246,0.77096,0.7625169,0.71146894,0.8022737,0.5344051,0.48864767,0.9753932,0.3988727,0.45379204,0.5950945,0.5674556,0.5649644,0.6873089,0.96762085,0.60748464,0.5637546,1.0406015,0.8571349,0.9185277,0.59447277,0.650513,0.5710505,0.9204948,0.46456468,0.5803462,1.3117328,1.0771432,0.7789962,1.0841539,0.73069507
