eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,BoroCT2020,GEOID,cell,geometry
10,0.017438928,-0.41717917,0.4302422,-0.2261949,-0.33430728,-0.31617433,0.058278944,0.21466427,0.3949656,-0.32705808,-0.39893296,-0.57486844,-0.016054027,0.39124924,0.39652503,-0.12675552,0.10559434,0.5667636,-0.31759655,-0.019739384,0.2599179,0.037712675,0.63460547,0.24921295,-0.53655744,0.22450992,0.28599605,0.23346564,0.020328742,0.5149329,0.14733355,-0.46581692,-0.30799302,-0.5834139,-0.44538543,0.5688996,-0.07436086,0.086098574,0.1896665,0.388374,0.5768524,0.558297,-0.34813687,0.04462211,-0.2477264,-0.26519144,0.47859386,-0.19868502,-0.3714816,0.35460818,-0.45835024,-0.35443744,0.4774571,-0.13246807,-0.321905,0.48998067,-0.14579977,0.11242167,0.20028353,0.3247282,-0.2803894,-0.48865825,0.5025748,-0.039158463,1003300,36061003300,613229551457140735,"POLYGON ((-74.01061392486535 40.729862375606366, -74.01699001932302 40.728807312695785, -74.01895148108572 40.72434847022417, -74.01453775822581 40.72094502133425, -74.00816268802471 40.72199986380206, -74.00620031653882 40.726458375572506, -74.01061392486535 40.729862375606366))"
11,-0.06566538,-0.40031618,0.38223755,-0.10697496,-0.1953869,-0.2436598,0.15597151,0.13207082,0.22648336,-0.15062626,-0.30433896,-0.46406403,0.057751864,0.25477633,0.30331555,-0.21094462,0.07143571,0.4643059,-0.19205782,-0.06279921,0.26887995,0.005139502,0.5085006,0.1979201,-0.42047855,0.21450162,0.28548223,0.20256527,0.13251306,0.4676271,0.08094531,-0.32276237,-0.21486367,-0.42832103,-0.38931718,0.4293319,-0.07895503,0.06520373,0.04816598,0.28183785,0.38586017,0.44221383,-0.19043627,0.038386725,-0.22430149,-0.105965674,0.45431075,-0.111095965,-0.24763541,0.3621279,-0.29896766,-0.26403934,0.33730906,0.037034567,-0.13046862,0.37271148,0.012664145,0.0456161,0.11769448,0.2201314,-0.11918947,-0.3486833,0.3489026,0.023050323,1003400,36061003400,613229524175290367,"POLYGON ((-73.98314196856704 40.73853795207538, -73.98951972184216 40.73748431912606, -73.991484112232 40.73302551141413, -73.98707165886354 40.72962066784638, -73.98069493064781 40.730674080877534, -73.97872963085321 40.73513255736459, -73.98314196856704 40.73853795207538))"
12,-0.0108997235,-0.16506122,0.12655543,0.04274135,0.026948843,-0.12294577,0.021803161,0.1554222,0.020256596,-0.04595016,-0.09412343,-0.2965591,0.036368184,0.24121372,0.13749671,-0.067196846,0.07596554,0.20209685,-0.11698042,0.007957075,0.10281961,-0.041847274,0.24550843,-0.025657222,-0.10893805,0.08421258,0.18958983,0.07587271,0.06956046,0.1400936,0.065924585,-0.22138871,-0.14130074,-0.18437733,-0.08731764,0.21751761,0.012225503,-0.018198542,0.025854636,0.21412301,0.09570999,0.23251322,-0.12213665,0.06782295,-0.1319588,-0.0671557,0.13590547,-0.061439082,-0.14263403,0.09396951,-0.16862153,-0.19095634,0.14562398,-0.020146945,-0.06646513,0.28998455,-0.054766055,0.068552785,-0.045404006,0.03674577,0.017595112,-0.19183818,0.16327865,0.0032258164,1003602,36061003602,613229551461335039,"POLYGON ((-73.991484112232 40.73302551141413, -73.99786097117716 40.731971475014035, -73.99982435195176 40.727512815145424, -73.99541178328332 40.72410852269769, -73.98903594902828 40.72516233902856, -73.98707165886354 40.72962066784638, -73.991484112232 40.73302551141413))"
13,-0.054014586,-0.13778527,0.10371884,0.0808038,0.10700642,-0.08518956,0.014116942,0.13003847,-0.04957773,0.028019018,-0.022219744,-0.27599683,0.082177676,0.20674782,0.113069266,-0.07860259,0.06341101,0.16659054,-0.080684945,0.0011805072,0.12581247,-0.07839592,0.2085484,-0.08211893,-0.038228262,0.10306459,0.23044612,0.047154367,0.09312166,0.11743837,0.035141863,-0.18784606,-0.080044396,-0.10015823,-0.05911702,0.16186188,0.04015951,-0.03946422,-0.023913898,0.18392184,0.034775734,0.22160259,-0.072087444,0.06120305,-0.15361108,-0.02803023,0.13702668,-0.04203604,-0.11350353,0.08212051,-0.15011282,-0.16028167,0.08117768,0.05833155,0.006716909,0.26387256,-0.017272457,0.04967516,-0.08064167,0.008698869,0.104273096,-0.17363721,0.10655592,0.02613436,1003700,36061003700,613229551465529343,"POLYGON ((-74.0022744646159 40.73537602621502, -74.00865145382899 40.73432136635024, -74.01061392486535 40.729862375606366, -74.00620031653882 40.726458375572506, -73.99982435195176 40.727512815145424, -73.99786097117716 40.731971475014035, -74.0022744646159 40.73537602621502))"
14,-0.11251235,-0.47691214,0.48949593,-0.29632628,-0.5221806,-0.35415703,0.2743192,0.04097237,0.41171575,-0.31333178,-0.51893365,-0.46354696,-0.048133947,0.13931091,0.32512414,-0.30364078,-0.015941042,0.5924549,-0.21142425,-0.15844761,0.3603587,0.10309164,0.6215353,0.4097185,-0.6935772,0.26120597,0.22810945,0.2528952,0.1212017,0.6613516,0.10788564,-0.29174846,-0.3214416,-0.5802873,-0.6313363,0.51419616,-0.21514134,0.13996267,0.055214617,0.25186083,0.66683054,0.60104793,-0.23676299,-0.08220881,-0.20175302,-0.14200227,0.6232221,-0.1294062,-0.31759408,0.5024962,-0.38389945,-0.21113086,0.4917358,-0.015961483,-0.23912928,0.32415032,0.012412084,0.011710124,0.28712416,0.3667305,-0.37900427,-0.3808916,0.45000356,0.049851134,1003900,36061003900,613229551496986623,"POLYGON ((-74.01895148108572 40.72434847022417, -74.02532668076034 40.72329300454581, -74.02728713357602 40.71883431060115, -74.0228732965369 40.7154314128319, -74.01649912074949 40.71648665791671, -74.01453775822581 40.72094502133425, -74.01895148108572 40.72434847022417))"
15,0.08013477,-0.17565653,0.15284406,0.05256472,0.07071309,-0.15500827,-0.1433572,0.31134215,0.0810436,-0.1200506,-0.057073873,-0.44007015,0.06250305,0.4691612,0.27477616,0.03707925,0.15822779,0.29514483,-0.26100925,0.13093539,0.09202991,-0.07212226,0.34824866,-0.089899406,-0.07600738,0.097903,0.2827536,0.11441551,-0.022609124,0.1323342,0.11719868,-0.43158892,-0.17360353,-0.278624,-0.034062847,0.33620808,0.08539376,-0.037638232,0.1624756,0.35883412,0.13103397,0.29389054,-0.26292405,0.14307629,-0.20735402,-0.21841148,0.12143703,-0.1593322,-0.23202077,0.035051197,-0.3190832,-0.35909596,0.19364129,-0.104073316,-0.16754206,0.4563581,-0.18994506,0.15502152,-0.058591224,0.09543428,0.042496696,-0.33531734,0.28421807,-0.08040253,1005200,36061005200,613229524173193215,"POLYGON ((-73.98558983083457 40.746402560980236, -73.99196860947467 40.74534870804115, -73.99393310003853 40.74088942151731, -73.98951972184216 40.73748431912606, -73.98314196856704 40.73853795207538, -73.98117656823543 40.742996907375705, -73.98558983083457 40.746402560980236))"
16,-0.02719953,-0.09067909,0.061530568,0.06765563,0.081911854,-0.09359577,-0.010790093,0.13752389,-0.04027587,-0.013417615,-0.026890475,-0.2522673,0.04650897,0.2138108,0.09346651,-0.03352354,0.06199081,0.13098635,-0.08615596,0.009158011,0.08250119,-0.055003595,0.18590036,-0.08966639,-0.027378425,0.066301994,0.18720926,0.026399909,0.054614354,0.07731661,0.059272863,-0.18446797,-0.0973543,-0.096467875,-0.026283287,0.14664449,0.030570902,-0.044711635,-0.001031513,0.18671338,0.030795287,0.21305047,-0.09609062,0.05492032,-0.123180255,-0.045514967,0.0752451,-0.040366977,-0.1133751,0.035329152,-0.14667916,-0.15071619,0.082804404,-0.0047233594,-0.038777888,0.25710744,-0.063934706,0.066148065,-0.08953338,-0.006873127,0.056796998,-0.16141155,0.10860919,0.001763835,1005200,36061005200,613229524179484671,"POLYGON ((-73.99393310003853 40.74088942151731, -74.00031098397913 40.73983516497634, -74.0022744646159 40.73537602621502, -73.99786097117716 40.731971475014035, -73.991484112232 40.73302551141413, -73.98951972184216 40.73748431912606, -73.99393310003853 40.74088942151731))"
17,-0.041573267,-0.008872628,0.015517258,0.016582612,0.0011781006,-0.08394137,-0.00014157819,0.07684306,-0.027477235,-0.07030379,-0.062248595,-0.16076852,0.020938942,0.122614324,0.031803954,-0.0228777,0.010354742,0.07096357,-0.044929,-0.022147948,0.050475378,-0.0019552363,0.14526217,-0.04594295,-0.064990684,0.02727743,0.08589903,0.011216011,0.018884994,0.06882718,0.06110813,-0.11704138,-0.09203909,-0.07369422,-0.031770896,0.0993214,-0.01259528,-0.033247296,-0.017422032,0.115175724,0.08078661,0.23025478,-0.07277287,0.020424481,-0.06811044,-0.038826946,0.026220974,-0.025965102,-0.10025651,0.02587288,-0.11876382,-0.079422906,0.07128651,-0.03406705,-0.061482135,0.18291432,-0.059189573,0.049303498,-0.04955815,-0.008394115,-0.05950464,-0.11604681,0.10482168,-0.0061871298,1005400,36061005400,613229524177387519,"POLYGON ((-73.99638291285558 40.748754069102006, -74.00276182209714 40.747699592348496, -74.00472540254478 40.74323997477671, -74.00031098397913 40.73983516497634, -73.99393310003853 40.74088942151731, -73.99196860947467 40.74534870804115, -73.99638291285558 40.748754069102006))"
18,0.023545288,-0.3391325,0.31515598,-0.033289306,-0.026288357,-0.2104652,-0.033019233,0.26987666,0.16833858,-0.13316941,-0.17743492,-0.53492814,0.08234326,0.44049847,0.3485314,-0.07575107,0.15434642,0.43851256,-0.2728116,0.04766503,0.21199124,-0.06080605,0.49455342,0.039210517,-0.2527785,0.18649332,0.35092148,0.17589596,0.051554512,0.3366828,0.10563095,-0.44012153,-0.19961339,-0.39065984,-0.2368557,0.44469616,0.045576714,0.00570015,0.12382475,0.37621057,0.27994812,0.40885195,-0.2678323,0.11852547,-0.27272916,-0.19171384,0.3406758,-0.15934356,-0.27211523,0.2093622,-0.35986155,-0.36682093,0.30274242,-0.034295715,-0.16786791,0.4867951,-0.11347592,0.11813163,0.032447133,0.17815106,-0.0048692347,-0.41172102,0.35674697,-0.033981524,1005800,36061005800,613229524185776127,"POLYGON ((-73.98803851785813 40.754267907355924, -73.99441832216888 40.75321383435545, -73.99638291285558 40.748754069102006, -73.99196860947467 40.74534870804115, -73.98558983083457 40.746402560980236, -73.98362433001691 40.75086199501154, -73.98803851785813 40.754267907355924))"
19,-0.08477285,-0.30195355,0.25913954,-0.035726115,-0.11642302,-0.1911733,0.16035286,0.09002235,0.11636604,-0.07582371,-0.23817872,-0.3331755,0.030660398,0.15279414,0.16878514,-0.19570634,0.042780787,0.33435988,-0.10117664,-0.09784652,0.216426,-0.0049582697,0.35467654,0.127025,-0.31113532,0.17246874,0.20446758,0.15798528,0.15724581,0.3473604,0.048314616,-0.19380155,-0.18064907,-0.28231436,-0.29627818,0.27519315,-0.052088503,0.029815514,-0.032229148,0.20247571,0.2714736,0.33695593,-0.10124072,0.0063191303,-0.14874263,-0.046065,0.34099296,-0.051092595,-0.15780498,0.2771568,-0.1972052,-0.1680757,0.2199401,0.05653112,-0.05278664,0.27291965,0.028401075,0.008868053,0.05251178,0.104914844,-0.0817335,-0.23711444,0.22508945,0.042188518,1006800,36061006800,613229524183678975,"POLYGON ((-73.97479792065865 40.74405013659623, -73.98117656823543 40.742996907375705, -73.98314196856704 40.73853795207538, -73.97872963085321 40.73513255736459, -73.97235200870517 40.73618556681812, -73.97038569895436 40.74064419071945, -73.97479792065865 40.74405013659623))"
